Date,Open,High,Low,Close,Adj Close,Volume
2015-12-14,29.980000,30.440001,29.540001,29.900000,25.736975,3982600
2015-12-15,30.110001,30.420000,29.799999,30.040001,25.857485,4007000
2015-12-16,30.110001,30.790001,30.040001,30.700001,26.425585,4302200
2015-12-17,30.670000,30.780001,29.780001,29.799999,25.650892,4969600
2015-12-18,29.670000,29.670000,28.900000,29.040001,24.996717,8632400
2015-12-21,29.090000,29.450001,28.879999,29.150000,25.091400,3343000
2015-12-22,29.360001,30.430000,29.299999,30.160000,25.960775,4545000
2015-12-23,30.270000,30.870001,30.000000,30.600000,26.339508,4454400
2015-12-24,30.530001,30.850000,30.459999,30.500000,26.253435,1751200
2015-12-28,30.520000,30.709999,30.230000,30.530001,26.279263,2025000
2015-12-29,30.750000,31.049999,30.590000,30.750000,26.468628,2154400
2015-12-30,30.820000,31.129999,30.440001,30.459999,26.219002,2162900
2015-12-31,30.430000,30.740000,30.250000,30.450001,26.210400,2869100
2016-01-04,29.840000,31.080000,29.760000,30.650000,26.382551,6343700
2016-01-05,30.719999,31.200001,30.490000,31.150000,26.812939,4731200
2016-01-06,30.530001,30.730000,29.740000,29.950001,25.780014,8342600
2016-01-07,29.559999,30.670000,29.379999,30.230000,26.021029,5962200
2016-01-08,29.740000,29.780001,28.639999,28.950001,24.919247,7062700
2016-01-11,29.080000,29.590000,28.969999,29.430000,25.332411,5847700
2016-01-12,29.610001,30.330000,29.389999,30.129999,25.934950,4754900
2016-01-13,30.150000,30.320000,29.090000,29.260000,25.186085,6172500
2016-01-14,27.080000,27.240000,25.610001,26.430000,22.750105,20096900
2016-01-15,25.350000,27.360001,25.309999,27.110001,23.335430,15113200
2016-01-19,27.049999,27.100000,25.400000,25.870001,22.268080,10110500
2016-01-20,25.700001,26.900000,25.420000,26.530001,22.836185,7797100
2016-01-21,26.610001,27.690001,26.459999,27.280001,23.481760,6318800
2016-01-22,27.680000,28.000000,27.070000,27.270000,23.473154,4389200
2016-01-25,27.200001,27.430000,26.920000,27.070000,23.300997,5654300
2016-01-26,27.139999,28.129999,27.020000,28.040001,24.135948,4160500
2016-01-27,27.959999,28.430000,27.200001,27.270000,23.473154,5797500
2016-01-28,27.340000,27.559999,26.900000,26.969999,23.214924,5499800
