Date,Open,High,Low,Close,Adj Close,Volume
2016-01-13,117.690002,117.870003,115.080002,115.120003,101.157066,6986000
2016-01-14,115.589996,117.129997,113.000000,116.620003,102.475143,9204500
2016-01-15,114.260002,116.449997,114.209999,115.180000,101.209801,10201900
2016-01-19,116.629997,117.709999,115.959999,117.500000,103.248405,9195300
2016-01-20,116.970001,118.000000,114.379997,115.779999,101.737015,11905200
2016-01-21,116.510002,118.440002,115.790001,117.839996,103.547157,9839100
2016-01-22,118.440002,118.750000,117.370003,118.400002,104.039253,9016600
2016-01-25,121.849998,121.900002,118.199997,119.199997,104.742210,15141500
2016-01-26,119.599998,121.300003,119.000000,120.430000,105.823021,8326100
2016-01-27,120.879997,121.620003,119.830002,120.870003,106.209656,7409000
2016-01-28,121.099998,122.599998,120.199997,122.379997,107.536499,7460500
2016-01-29,122.769997,124.349998,122.750000,123.779999,108.766701,10549900
2016-02-01,123.080002,124.830002,123.019997,124.610001,109.496017,6189900
2016-02-02,124.050003,124.339996,123.099998,123.949997,108.916077,7653000
2016-02-03,124.360001,124.580002,120.839996,121.470001,106.736862,9327000
2016-02-04,121.040001,121.239998,118.720001,120.660004,106.025124,7595000
2016-02-05,120.650002,120.650002,114.959999,115.400002,101.403122,13261700
2016-02-08,114.050003,116.360001,112.709999,116.050003,101.974266,11311500
2016-02-09,115.540001,117.800003,115.349998,117.010002,102.817825,7525700
2016-02-10,118.019997,118.529999,117.260002,117.540001,103.283546,5726300
2016-02-11,115.739998,117.500000,115.690002,116.730003,102.571808,7568600
2016-02-12,116.720001,118.330002,116.099998,117.930000,103.626259,8552800
2016-02-16,118.419998,119.180000,117.599998,119.180000,104.724632,10835800
2016-02-17,119.180000,119.400002,116.720001,118.639999,104.250137,12729000
2016-02-18,118.809998,119.459999,116.930000,117.169998,102.958427,9707100
2016-02-19,117.000000,117.349998,115.809998,116.529999,102.396065,10793700
2016-02-22,116.529999,118.160004,116.529999,117.669998,103.397774,6223300
2016-02-23,117.349998,118.150002,116.849998,116.900002,102.721169,5276700
2016-02-24,116.320000,117.330002,115.800003,117.059998,102.861771,5349800
2016-02-25,117.430000,118.500000,117.160004,118.370003,104.012878,6034000
2016-02-26,117.980003,118.269997,116.169998,117.059998,103.641014,5193700
2016-02-29,116.800003,118.370003,116.709999,117.190002,103.756119,6467700
2016-03-01,117.910004,119.190002,117.769997,118.849998,105.225815,4731500
2016-03-02,118.559998,118.730003,117.660004,118.480003,104.898254,4267700
2016-03-03,117.480003,117.480003,115.320000,116.690002,103.313431,9132000
2016-03-04,116.720001,117.449997,115.900002,117.180000,103.747269,5857400
2016-03-07,117.029999,117.570000,116.120003,117.150002,103.720703,5640700
2016-03-08,116.209999,119.080002,116.209999,118.419998,104.845139,6236200
2016-03-09,119.239998,120.199997,118.459999,119.639999,105.925255,6428200
2016-03-10,119.910004,120.860001,118.660004,119.980003,106.226288,6171200
2016-03-11,120.489998,122.010002,120.360001,121.550003,107.616310,7042300
2016-03-14,121.809998,123.489998,121.449997,122.900002,108.811554,7912100
2016-03-15,122.300003,123.760002,122.209999,123.430000,109.280792,5061400
2016-03-16,123.330002,124.059998,122.669998,123.519997,109.360481,6716700
2016-03-17,123.269997,123.849998,123.110001,123.160004,109.041763,6108700
2016-03-18,123.430000,124.120003,122.750000,124.080002,109.856300,14783800
2016-03-21,123.660004,124.500000,123.050003,123.809998,109.617241,4050100
2016-03-22,123.790001,124.389999,123.559998,123.820000,109.626099,3494500
2016-03-23,124.099998,125.000000,123.860001,124.190002,109.953682,4143600
2016-03-24,123.690002,124.000000,122.660004,123.290001,109.156868,5796700
2016-03-28,124.000000,124.199997,123.120003,123.169998,109.050598,4784400
2016-03-29,123.430000,124.570000,123.339996,123.970001,109.758904,7188200
2016-03-30,124.900002,126.099998,124.599998,125.830002,111.405708,4853700
2016-03-31,126.150002,126.959999,125.610001,125.680000,111.272888,7685900
2016-04-01,125.190002,127.389999,124.870003,127.019997,112.459274,5212400
2016-04-04,127.050003,127.870003,126.879997,127.570000,112.946213,4239300
2016-04-05,126.839996,127.779999,126.389999,127.379997,112.778000,6282200
2016-04-06,127.470001,127.690002,126.839996,127.519997,112.901939,5619900
2016-04-07,127.370003,128.520004,127.019997,128.139999,113.450874,4720800
2016-04-08,128.279999,128.740005,127.279999,127.959999,113.291527,3625600
2016-04-11,128.350006,128.690002,127.449997,127.559998,112.937370,6973700
2016-04-12,128.080002,128.279999,126.889999,127.610001,112.981636,5211400
2016-04-13,127.709999,127.919998,126.080002,126.889999,112.344170,4985200
2016-04-14,127.139999,128.089996,127.040001,127.510002,112.893082,4834800
2016-04-15,127.080002,128.039993,126.959999,127.779999,113.132156,3103800
2016-04-18,127.779999,128.910004,127.680000,128.850006,114.079491,4525600
2016-04-19,128.910004,129.350006,128.119995,128.860001,114.088356,4606300
2016-04-20,129.309998,129.800003,128.509995,128.550003,113.813881,5006700
2016-04-21,128.550003,128.750000,125.599998,125.790001,111.370262,7947600
2016-04-22,128.169998,128.399994,125.360001,125.500000,111.113518,9311300
2016-04-25,125.070000,127.529999,125.010002,127.459999,112.848831,6979900
2016-04-26,127.419998,128.339996,127.029999,127.709999,113.070168,4082300
2016-04-27,127.940002,128.559998,127.779999,128.300003,113.592560,4436200
2016-04-28,127.860001,128.850006,127.440002,127.919998,113.256104,3385800
2016-04-29,127.930000,127.930000,126.099998,126.489998,111.990028,6276900
2016-05-02,126.650002,128.220001,126.500000,128.199997,113.503990,4830800
2016-05-03,127.400002,128.990005,127.379997,128.399994,113.681068,4048400
2016-05-04,127.570000,130.429993,127.570000,129.330002,114.504471,6613700
2016-05-05,129.309998,129.979996,129.000000,129.279999,114.460205,4519700
2016-05-06,129.380005,130.580002,128.589996,130.580002,115.611183,4418400
2016-05-09,130.649994,131.500000,130.350006,130.830002,115.832527,5006800
2016-05-10,130.850006,131.960007,130.850006,131.600006,116.514259,4082600
2016-05-11,131.240005,131.619995,129.139999,129.139999,114.336243,6890200
2016-05-12,129.740005,130.539993,129.160004,130.119995,115.203896,4286800
2016-05-13,129.740005,130.160004,128.710007,128.830002,114.061775,6568700
2016-05-16,128.509995,129.729996,128.050003,129.639999,114.778938,4343600
2016-05-17,129.600006,129.970001,127.300003,127.690002,113.052467,5826200
2016-05-18,127.050003,127.470001,125.730003,126.209999,111.742119,7303200
2016-05-19,125.480003,125.599998,124.680000,125.290001,110.927582,6255100
2016-05-20,124.739998,125.000000,122.139999,122.559998,108.510529,9735900
2016-05-23,122.760002,123.730003,122.470001,122.809998,108.731865,7081600
2016-05-24,123.389999,124.769997,123.010002,123.949997,109.741196,4494100
2016-05-25,123.750000,123.989998,123.029999,123.260002,109.130295,5307400
2016-05-26,123.379997,123.980003,123.230003,123.790001,109.599533,3716300
2016-05-27,124.269997,124.680000,123.120003,123.250000,109.121445,3222800
2016-05-31,123.300003,123.410004,121.620003,122.059998,108.067856,7995200
2016-06-01,122.059998,122.739998,121.500000,121.970001,107.988182,5057200
2016-06-02,120.699997,121.510002,120.550003,121.169998,108.068443,4740200
2016-06-03,121.089996,121.669998,120.339996,121.349998,108.228981,4643000
2016-06-06,121.790001,122.169998,121.209999,122.000000,108.808701,4901700
2016-06-07,122.339996,123.379997,121.900002,121.900002,108.719505,4562100
2016-06-08,121.980003,122.489998,120.889999,122.110001,108.906784,3925900
2016-06-09,122.070000,123.089996,122.070000,122.790001,109.513283,4583400
2016-06-10,121.800003,122.660004,121.610001,122.360001,109.129768,4347400
2016-06-13,121.949997,123.970001,121.849998,122.989998,109.691643,5436700
2016-06-14,122.540001,123.190002,121.930000,122.510002,109.263565,6351400
2016-06-15,123.150002,123.320000,122.129997,122.250000,109.031654,4168100
2016-06-16,121.839996,122.629997,120.949997,122.470001,109.227867,3931800
2016-06-17,122.230003,122.709999,121.419998,122.269997,109.049492,8331400
2016-06-20,123.320000,124.080002,123.269997,123.419998,110.075150,5951000
2016-06-21,123.919998,124.000000,122.309998,122.629997,109.370567,4749000
2016-06-22,121.309998,121.449997,120.050003,120.620003,107.577881,6578900
2016-06-23,121.480003,121.750000,120.639999,121.209999,108.104111,3832800
2016-06-24,118.760002,121.110001,118.290001,119.440002,106.525497,6985900
2016-06-27,118.160004,118.160004,116.080002,116.300003,103.725006,14150500
2016-06-28,117.199997,118.639999,116.830002,118.500000,105.687126,6173000
2016-06-29,119.160004,119.959999,119.000000,119.489998,106.570099,5020400
2016-06-30,119.680000,120.449997,119.300003,120.339996,107.328186,4808100
2016-07-01,119.720001,120.860001,119.660004,120.400002,107.381699,3798100
2016-07-05,120.120003,120.800003,120.099998,120.760002,107.702774,5191100
2016-07-06,119.290001,120.959999,119.000000,120.629997,107.586807,5102800
2016-07-07,120.889999,121.239998,120.410004,120.919998,107.845467,3621300
2016-07-08,121.220001,121.690002,121.080002,121.309998,108.193298,3809600
2016-07-11,121.690002,122.120003,121.459999,122.000000,108.808701,4266300
2016-07-12,122.000000,122.589996,121.959999,122.250000,109.031654,3742000
2016-07-13,122.360001,123.019997,122.160004,122.820000,109.540039,3464200
2016-07-14,123.699997,124.209999,123.010002,123.930000,110.530006,6011900
2016-07-15,124.419998,124.440002,123.389999,123.610001,110.244614,3688400
2016-07-18,124.000000,124.000000,123.389999,123.800003,110.414070,5254700
2016-07-19,124.080002,126.599998,123.750000,126.500000,112.822128,6277700
2016-07-20,126.839996,126.870003,125.559998,126.059998,112.429703,3353300
2016-07-21,126.419998,127.230003,125.930000,127.180000,113.428604,3572100
2016-07-22,127.290001,128.600006,127.290001,128.259995,114.391838,4304200
2016-07-25,127.949997,127.949997,126.860001,127.400002,113.624817,6210100
2016-07-26,123.500000,124.349998,120.970001,121.709999,108.550056,14563700
2016-07-27,121.690002,121.790001,119.239998,119.480003,106.561180,9939200
2016-07-28,119.589996,120.180000,118.360001,119.419998,106.507645,6239400
2016-07-29,119.139999,119.660004,117.430000,117.650002,104.929039,7460900
2016-08-01,117.879997,118.389999,117.739998,118.010002,105.250130,4208800
2016-08-02,118.180000,118.709999,117.110001,117.699997,104.973625,4504200
2016-08-03,117.769997,118.019997,117.139999,117.519997,104.813087,4120000
2016-08-04,117.849998,118.550003,117.580002,118.300003,105.508751,4313200
2016-08-05,118.779999,119.449997,118.599998,119.209999,106.320374,3883800
2016-08-08,119.169998,119.370003,118.199997,118.290001,105.499847,3589300
2016-08-09,117.980003,119.129997,117.599998,118.309998,105.517670,3491700
2016-08-10,118.000000,118.940002,117.650002,118.800003,105.954689,2941700
2016-08-11,118.870003,119.750000,118.849998,119.379997,106.471977,3490200
2016-08-12,119.570000,120.019997,119.279999,119.519997,106.596848,3015700
2016-08-15,119.019997,119.250000,118.519997,118.519997,105.704979,3391600
2016-08-16,118.309998,118.529999,117.919998,117.940002,105.187675,3333900
2016-08-17,117.980003,117.980003,116.519997,117.099998,104.438515,5184900
2016-08-18,117.239998,117.370003,116.800003,117.129997,104.465256,3710500
2016-08-19,116.800003,116.800003,115.000000,115.010002,102.574493,7065700
2016-08-22,115.000000,115.730003,114.650002,115.419998,102.940163,4484700
2016-08-23,115.910004,116.120003,115.050003,115.190002,102.735031,4305400
2016-08-24,115.150002,115.400002,114.730003,114.870003,102.449638,4135400
2016-08-25,115.099998,115.779999,114.879997,115.430000,102.949074,6694100
2016-08-26,115.629997,115.720001,113.959999,114.440002,102.066124,5294500
2016-08-29,114.599998,115.650002,114.500000,115.410004,102.931229,4983000
2016-08-30,115.410004,115.870003,114.599998,115.360001,103.686249,5085300
2016-08-31,115.510002,116.000000,115.199997,115.660004,103.955887,5394700
2016-09-01,115.510002,115.809998,114.860001,115.400002,103.722198,3966600
2016-09-02,115.930000,116.110001,115.699997,115.830002,104.108681,3410100
2016-09-06,117.089996,119.239998,116.910004,117.250000,105.384995,6337900
2016-09-07,117.269997,117.489998,116.440002,116.919998,105.088371,2647700
2016-09-08,116.820000,117.110001,116.040001,116.169998,104.414253,3085600
2016-09-09,115.599998,115.760002,114.580002,114.580002,102.985161,4961100
2016-09-12,114.470001,116.180000,114.129997,115.949997,104.216507,5014000
2016-09-13,115.610001,115.610001,114.480003,114.730003,103.120003,4162200
2016-09-14,115.000000,115.660004,114.820000,115.180000,103.524445,4530700
2016-09-15,114.879997,116.239998,114.769997,116.139999,104.387299,3671200
2016-09-16,115.680000,116.260002,114.830002,115.279999,103.614334,9500500
2016-09-19,115.830002,116.410004,114.959999,115.209999,103.551414,3741500
2016-09-20,115.720001,116.629997,115.500000,116.449997,104.665932,3841800
2016-09-21,116.489998,117.050003,115.959999,116.930000,105.097359,4528900
2016-09-22,117.459999,117.949997,117.279999,117.360001,105.483849,3808800
2016-09-23,116.489998,117.519997,116.349998,117.169998,105.313072,2776000
2016-09-26,116.800003,116.940002,116.279999,116.529999,104.737846,3022400
2016-09-27,116.949997,117.199997,116.370003,116.879997,105.052429,3745400
2016-09-28,116.379997,116.529999,114.459999,115.180000,103.524445,5638900
2016-09-29,115.199997,115.970001,114.730003,114.790001,103.173912,4924400
2016-09-30,114.690002,115.709999,114.690002,115.360001,103.686249,4188700
