Date,BBY,HD,WMT,TGT,SP500,unemployment,cpi
2020-10-21,118.690002,284.51001,144.399994,163.28999299999998,3435.5600590000004,4.1,247.86700000000002
2020-10-22,117.459999,281.160004,143.550003,159.600006,3453.48999,4.1,248.99099999999999
2020-10-23,118.209999,283.0,143.850006,160.229996,3465.389893,4.0,249.554
2020-10-26,114.360001,276.040009,142.16000400000001,157.970001,3400.969971,4.0,250.546
2020-10-27,113.58000200000001,276.839996,142.869995,157.029999,3390.679932,3.8,251.588
2020-10-28,111.110001,269.72000099999997,140.03999299999998,155.21000700000002,3271.030029,4.0,251.989
2020-10-29,112.279999,269.630005,139.919998,154.25,3310.110107,3.8,252.00599999999997
2020-10-30,111.550003,266.709991,138.75,152.220001,3269.959961,3.8,252.146
2020-11-02,115.720001,270.73999,140.399994,154.389999,3310.23999,3.7,252.43900000000002
2020-11-03,118.82,277.369995,142.779999,156.729996,3369.1599119999996,3.8,252.885
2020-11-04,119.860001,282.72000099999997,141.96000700000002,156.619995,3443.4399409999996,3.7,252.03799999999998
2020-11-05,123.059998,285.850006,143.470001,158.630005,3510.4499509999996,3.9,251.233
2020-11-06,123.059998,284.23999,145.770004,161.5,3509.4399409999996,4.0,251.71200000000002
2020-11-09,111.0,269.97000099999997,143.53999299999998,154.91000400000001,3550.5,3.8,252.77599999999998
2020-11-10,112.629997,275.570007,145.559998,158.070007,3545.530029,3.8,254.202
2020-11-11,114.559998,277.75,147.979996,159.690002,3572.6599119999996,3.6,255.548
2020-11-12,114.0,276.23999,148.229996,159.529999,3537.01001,3.6,256.092
2020-11-13,114.300003,277.170013,150.53999299999998,162.880005,3585.149902,3.7,256.143
2020-11-16,118.650002,279.570007,152.440002,165.179993,3626.9099119999996,3.7,256.57099999999997
2020-11-17,119.019997,272.47000099999997,149.369995,163.03999299999998,3609.530029,3.7,256.558
2020-11-18,117.769997,269.829987,149.08999599999999,166.850006,3567.790039,3.5,256.759
2020-11-19,118.83000200000001,270.929993,152.119995,171.369995,3581.8701170000004,3.6,257.346
2020-11-20,119.139999,269.809998,150.240005,172.309998,3557.540039,3.5,257.20799999999997
2020-11-23,122.040001,271.399994,150.929993,177.559998,3577.5900880000004,3.5,256.974
2020-11-24,113.540001,273.309998,151.360001,177.860001,3635.4099119999996,3.6,257.971
2020-11-25,113.900002,273.959991,151.830002,179.820007,3629.649902,3.5,258.678
2020-11-27,112.629997,275.98999,151.600006,179.770004,3638.350098,4.4,258.115
2020-11-30,108.800003,277.410004,152.78999299999998,179.529999,3621.6298829999996,14.7,256.389
2020-12-01,108.860001,276.600006,152.639999,179.050003,3662.4499509999996,13.3,256.394
2020-12-02,107.470001,271.100006,150.520004,176.41000400000001,3669.01001,11.1,257.797
2020-12-03,106.540001,268.140015,149.300003,174.919998,3666.719971,10.2,259.101
2020-12-04,105.57,263.98999,148.91000400000001,175.029999,3699.1201170000004,8.4,259.918
2020-12-07,102.730003,262.640015,148.110001,172.91000400000001,3691.959961,7.9,260.28
2020-12-08,102.989998,261.72000099999997,149.449997,172.720001,3702.25,6.9,260.388
2020-12-09,104.760002,265.579987,148.270004,174.070007,3672.820068,6.7,260.22900000000004
