Date,Open,High,Low,Close,Adj Close,Volume
2015-12-14,71.830002,72.989998,71.629997,72.720001,62.092148,4721100
2015-12-15,73.059998,74.250000,72.769997,72.980003,62.314140,4581800
2015-12-16,73.029999,74.040001,73.000000,73.800003,63.014328,3959100
2015-12-17,73.800003,74.040001,72.059998,72.330002,61.759140,6749900
2015-12-18,71.860001,72.180000,70.699997,71.370003,60.939426,7597700
2015-12-21,71.510002,71.959999,71.080002,71.709999,61.229752,3727800
2015-12-22,72.089996,72.940002,71.870003,72.610001,61.998219,3524500
2015-12-23,73.040001,73.800003,72.940002,73.650002,62.886211,2592900
2015-12-24,73.459999,73.589996,72.760002,73.169998,62.476376,1097700
2015-12-28,73.040001,73.430000,72.220001,72.870003,62.220219,2427300
2015-12-29,73.470001,75.000000,73.339996,74.440002,63.560764,4548300
2015-12-30,74.559998,74.570000,73.559998,73.620003,62.860607,2143600
2015-12-31,73.209999,73.209999,72.470001,72.610001,61.998219,3488200
2016-01-04,71.839996,73.709999,71.529999,73.550003,62.800835,8233300
2016-01-05,73.739998,75.239998,73.629997,74.839996,63.902309,8191400
2016-01-06,73.800003,74.800003,73.379997,74.080002,63.253376,4921400
2016-01-07,73.580002,76.000000,73.489998,73.879997,63.082607,11289900
2016-01-08,74.209999,74.790001,71.269997,71.379997,60.947964,7749000
2016-01-11,71.529999,72.750000,70.510002,72.419998,61.835979,6369700
2016-01-12,72.970001,73.550003,72.629997,73.360001,62.638607,4851100
2016-01-13,73.290001,73.750000,71.550003,71.639999,61.169975,5963500
2016-01-14,71.620003,71.639999,70.000000,70.410004,60.119747,6283200
2016-01-15,68.830002,70.589996,68.830002,70.080002,59.837971,7435800
2016-01-19,69.849998,70.559998,68.699997,69.239998,59.120720,5645400
2016-01-20,68.220001,68.620003,66.459999,67.589996,57.711868,9395700
2016-01-21,68.070000,69.669998,67.540001,68.639999,58.608429,6869300
2016-01-22,69.180000,69.980003,69.139999,69.720001,59.530582,3740800
2016-01-25,69.769997,69.989998,68.849998,68.919998,58.847500,5312200
2016-01-26,69.389999,70.650002,69.010002,70.440002,60.145359,4052600
2016-01-27,70.209999,71.870003,70.080002,70.690002,60.358826,3961400
2016-01-28,71.309998,71.440002,70.180000,70.989998,60.614983,4073300
2016-01-29,71.139999,72.529999,71.019997,72.419998,61.835979,5184500
2016-02-01,71.250000,73.209999,70.330002,72.830002,62.186054,4714900
2016-02-02,72.709999,73.410004,72.320000,73.309998,62.595894,4635500
2016-02-03,73.860001,73.940002,71.599998,72.570000,61.964058,5444900
2016-02-04,70.669998,70.669998,69.129997,70.040001,59.803810,7650400
2016-02-05,70.040001,70.750000,69.449997,69.559998,59.393963,3764200
2016-02-08,69.180000,70.290001,68.239998,70.000000,59.769646,5392400
2016-02-09,69.800003,70.470001,68.970001,69.860001,59.650124,5110600
2016-02-10,70.430000,70.699997,68.570000,68.760002,58.710899,4691200
2016-02-11,68.320000,69.169998,67.650002,68.050003,58.104649,3846100
2016-02-12,68.029999,69.980003,67.430000,69.949997,60.222557,4651800
2016-02-16,70.620003,71.559998,69.699997,71.500000,61.557014,3952000
2016-02-17,72.199997,72.650002,71.519997,72.099998,62.073574,4933400
2016-02-18,70.949997,72.669998,69.500000,72.529999,62.443779,5394800
2016-02-19,72.199997,72.320000,70.559998,72.320000,62.262989,4390800
2016-02-22,72.320000,73.250000,72.260002,72.470001,62.392113,4766400
2016-02-23,72.830002,74.379997,72.669998,73.989998,63.700737,5823100
2016-02-24,74.389999,77.000000,73.400002,76.940002,66.240509,15048400
2016-02-25,77.000000,78.820000,76.160004,78.669998,67.729935,8383100
2016-02-26,78.900002,78.970001,77.320000,78.430000,67.523308,5190100
2016-02-29,78.269997,79.169998,78.019997,78.449997,67.540512,5226200
2016-03-01,79.120003,81.050003,78.879997,80.959999,69.701469,7174400
2016-03-02,80.940002,81.639999,80.180000,81.099998,69.822006,9385300
2016-03-03,80.510002,80.690002,78.570000,79.709999,68.625305,11353900
2016-03-04,80.070000,81.599998,79.459999,81.129997,69.847816,6059200
2016-03-07,80.529999,81.199997,80.250000,80.820000,69.580948,4665000
2016-03-08,80.550003,81.400002,80.459999,80.529999,69.331284,3981100
2016-03-09,81.000000,81.500000,80.589996,81.209999,69.916695,3573100
2016-03-10,81.610001,82.029999,80.300003,81.500000,70.166397,5694800
