Date,Close,Volume,100_MA
2015-12-14,35.009997999999996,5784400,
2015-12-15,36.32,11709900,
2015-12-16,35.98,7076300,
2015-12-17,35.540001000000004,6454100,
2015-12-18,34.98,13745900,
2015-12-21,36.080002,5856000,
2015-12-22,36.805,6030900,
2015-12-23,37.110001000000004,7579500,
2015-12-24,37.07,2133400,
2015-12-28,36.610001000000004,4930100,
2015-12-29,37.080002,3436600,
2015-12-30,36.48,4106700,
2015-12-31,36.200001,4481900,
2016-01-04,34.75,12287700,
2016-01-05,34.310001,11227700,
2016-01-06,33.98,8441300,
2016-01-07,33.130001,11041100,
2016-01-08,32.689999,7848800,
2016-01-11,33.040001000000004,8937400,
2016-01-12,33.080002,7854000,
2016-01-13,32.119999,8069400,
2016-01-14,32.869999,7749500,
2016-01-15,32.310001,12174400,
2016-01-19,32.200001,6674700,
2016-01-20,31.200001,13170600,
2016-01-21,31.200001,9978900,
2016-01-22,31.690001000000002,9444000,
2016-01-25,31.469998999999998,7591800,
2016-01-26,31.969998999999998,8617000,
2016-01-27,31.59,12711700,
2016-01-28,34.240002000000004,20378600,
2016-01-29,36.139998999999996,21201100,
2016-02-01,37.080002,17356000,
2016-02-02,36.830002,17310600,
2016-02-03,37.009997999999996,14543100,
2016-02-04,37.169998,10212300,
2016-02-05,35.07,16245800,
2016-02-08,33.610001000000004,20629000,
2016-02-09,32.700001,16439200,
2016-02-10,32.900002,8636500,
2016-02-11,33.52,13170100,
2016-02-12,34.299999,9437100,
2016-02-16,35.459998999999996,9152400,
2016-02-17,36.360001000000004,12070600,
2016-02-18,36.310001,9022100,
2016-02-19,35.759997999999996,9652800,
2016-02-22,36.0,10476200,
2016-02-23,35.48,8415200,
2016-02-24,36.470001,8090600,
2016-02-25,36.740002000000004,5209500,
2016-02-26,37.490002000000004,8595000,
2016-02-29,38.139998999999996,23939900,
2016-03-01,39.25,14085300,
2016-03-02,39.16,12895900,
2016-03-03,39.02,7656900,
2016-03-04,39.040001000000004,7200100,
2016-03-07,38.98,5327200,
2016-03-08,38.16,6012700,
2016-03-09,38.57,4990500,
2016-03-10,38.490002000000004,7655700,
2016-03-11,39.490002000000004,9539500,
2016-03-14,39.380001,5299700,
2016-03-15,39.27,5013900,
2016-03-16,39.84,6363500,
2016-03-17,39.93,9789600,
2016-03-18,39.41,15132400,
2016-03-21,41.139998999999996,13432400,
2016-03-22,41.32,10552300,
2016-03-23,40.52,8104700,
2016-03-24,38.919998,15040600,
2016-03-28,38.740002000000004,6192900,
2016-03-29,39.529999,5694000,
2016-03-30,39.040001000000004,5246800,
2016-03-31,38.599998,8087000,
2016-04-01,39.400002,6982000,
2016-04-04,38.790001000000004,5381300,
2016-04-05,38.549999,5364800,
2016-04-06,39.16,5526200,
2016-04-07,38.279999,7294500,
2016-04-08,38.41,7822300,
2016-04-11,38.060001,5428900,
2016-04-12,37.799999,7677100,
2016-04-13,38.790001000000004,7082400,
2016-04-14,38.639998999999996,4590200,
2016-04-15,38.580002,5239600,
2016-04-18,39.639998999999996,6433000,
2016-04-19,39.240002000000004,5915800,
2016-04-20,40.080002,7723500,
2016-04-21,40.099998,5539400,
2016-04-22,40.310001,6433900,
2016-04-25,39.82,7934200,
2016-04-26,39.73,5271200,
2016-04-27,40.009997999999996,12727600,
2016-04-28,40.07,17800000,
2016-04-29,39.18,10001400,
2016-05-02,39.02,6777500,
2016-05-03,38.360001000000004,9146600,
2016-05-04,38.310001,8121600,
2016-05-05,38.950001,7127200,
2016-05-06,39.48,6566900,36.92205026999999
2016-05-09,39.619999,5861000,36.96815027999999
2016-05-10,40.110001000000004,6588700,37.00605028999999
2016-05-11,39.709998999999996,5995500,37.04335027999999
2016-05-12,39.509997999999996,6323100,37.08305024999999
2016-05-13,39.48,5885900,37.128050249999994
2016-05-16,39.299999,10316000,37.16025021999999
2016-05-17,39.064999,10746100,37.18285020999999
2016-05-18,38.98,10393500,37.20155019999999
2016-05-19,37.650002,17041300,37.20735021999999
2016-05-20,37.529999,12496600,37.216550199999986
2016-05-23,38.07,9083800,37.226450179999986
2016-05-24,38.919998,7555200,37.250850159999985
2016-05-25,38.759997999999996,6538900,37.276450129999986
2016-05-26,38.07,5894700,37.30965012999999
2016-05-27,38.09,5863600,37.34745011999999
2016-05-31,37.790001000000004,12231400,37.385550129999984
2016-06-01,38.310001,5458500,37.437350129999984
2016-06-02,38.560001,4658600,37.49605014999998
2016-06-03,38.330002,4986000,37.54895015999998
2016-06-06,38.099998,5065900,37.59915011999998
2016-06-07,37.57,6324400,37.65365012999999
2016-06-08,37.549999,8666600,37.700450129999986
2016-06-09,37.130001,10206700,37.74865012999999
2016-06-10,36.77,7741400,37.79435011999998
2016-06-13,36.540001000000004,8216000,37.84775011999998
2016-06-14,37.16,10281900,37.90735010999998
2016-06-15,36.84,7092000,37.95885009999998
2016-06-16,36.970001,6106000,38.01385011999999
2016-06-17,36.970001,7947100,38.063850139999985
2016-06-20,36.860001000000004,7789600,38.11655014999999
2016-06-21,36.16,12816100,38.135750129999984
2016-06-22,36.0,9292400,38.13435013999998
2016-06-23,36.66,4808700,38.13015011999998
2016-06-24,35.080002,17647200,38.112650119999984
2016-06-27,34.200001,11195800,38.084550149999984
2016-06-28,35.240002000000004,12408200,38.065250189999986
2016-06-29,35.77,9520400,38.072250189999984
2016-06-30,36.509997999999996,9153000,38.10125015999998
2016-07-01,36.349998,7260400,38.13775012999998
2016-07-05,36.119999,5321100,38.16995009999998
2016-07-06,35.93,7821300,38.194050099999984
2016-07-07,36.32,7326700,38.21425010999999
2016-07-08,37.360001000000004,6828600,38.23325012999998
2016-07-11,38.150002,10096200,38.25115013999998
2016-07-12,38.790001000000004,9997200,38.275950139999985
2016-07-13,39.279999,12458500,38.31115014999998
2016-07-14,39.959998999999996,9683500,38.35075013999998
2016-07-15,39.09,8140600,38.386850139999986
2016-07-18,38.919998,7877400,38.41135010999998
2016-07-19,39.369999,8120100,38.43765007999998
2016-07-20,40.049999,11189100,38.46325004999998
2016-07-21,40.130001,13363300,38.48315006999998
2016-07-22,37.419998,36397300,38.464850049999974
2016-07-25,37.779999,16904100,38.45105003999998
2016-07-26,37.689999,10279200,38.43775002999998
2016-07-27,37.220001,8894200,38.41955002999998
2016-07-28,37.220001,5111300,38.40195003999998
2016-07-29,37.240002000000004,6841500,38.39275005999998
2016-08-01,37.060001,5473900,38.37765006999998
2016-08-02,36.540001000000004,5997700,38.35815005999998
2016-08-03,36.580002,7663800,38.32905005999998
2016-08-04,37.299999,7507800,38.30825003999998
2016-08-05,38.099998,7670400,38.296550019999984
2016-08-08,37.91,6101300,38.277250019999975
2016-08-09,38.099998,5049100,38.258949999999984
2016-08-10,38.07,5546800,38.24554999999999
