DATE,USALORSGPNOSTSAM
2015-08-01,100.590132060152
2015-09-01,100.504032141595
2015-10-01,100.416586125719
2015-11-01,100.335739434933
2015-12-01,100.266041328507
2016-01-01,100.205518466203
2016-02-01,100.149871473955
2016-03-01,100.095963399119
2016-04-01,100.044917200131
2016-05-01,100.000037043783
2016-06-01,99.9645190325826
2016-07-01,99.9387125234946
2016-08-01,99.9213496424323
2016-09-01,99.9100420714262
2016-10-01,99.9011386328221
2016-11-01,99.8908660282792
2016-12-01,99.8762589533734
2017-01-01,99.8561503563985
2017-02-01,99.8312450899869
2017-03-01,99.8045534386139
2017-04-01,99.7821342791658
2017-05-01,99.7712395266274
2017-06-01,99.7781373968597
2017-07-01,99.8050900051594
2017-08-01,99.8520644757868
2017-09-01,99.9169518448814
2017-10-01,99.9942962276132
2017-11-01,100.077310164249
2017-12-01,100.158941284426
2018-01-01,100.232481834204
2018-02-01,100.291929737608
2018-03-01,100.332882141528
2018-04-01,100.354390411796
2018-05-01,100.35699415681
2018-06-01,100.342113798863
2018-07-01,100.312768235131
2018-08-01,100.272734483856
2018-09-01,100.226729288999
2018-10-01,100.181342117703
2018-11-01,100.142502525025
2018-12-01,100.11291170457
2019-01-01,100.089007212332
2019-02-01,100.065201223225
2019-03-01,100.037669415085
2019-04-01,100.008094981386
2019-05-01,99.9806775144965
2019-06-01,99.9592868225374
2019-07-01,99.9444606400769
2019-08-01,99.9352959595268
2019-09-01,99.9308383684194
2019-10-01,99.9310365319607
2019-11-01,99.9364023355244
2019-12-01,99.947313535889
2020-01-01,99.9629212554929
2020-02-01,99.9818859171515
2020-03-01,95.1399945523542
2020-04-01,92.1214329970798
2020-05-01,90.5383357543901
2020-06-01,92.2095630089812
2020-07-01,93.8733252755052
2020-08-01,95.5254199277808
